"Key Press","Jive Action","Key Symbol","New",
"a","add","KEY_A","no",
"A","add_end",,"no",
"d","add_end","KEY_D","yes",
"BACKSPACE","back","KEY_BACKSPACE","no",
"ESCAPE","back","KEY_ESC","no",
"j","back/left","KEY_J","no",
"P","create_mix",,"no",
"m","create_mix","KEY_M","yes",
"}","debug_skin",,"no",
"~","debug_touch",,"no",
"DOWN","down","KEY_DOWN","no",
"ENTER","go","KEY_ENTER","no",
"'","go_brightness","KEY_APOSTROPHE","no",
"{","go_current_track_info",,"no",
"t","go_current_track_info","KEY_T","yes",
":","go_favorites","KEY_COLON","no",
"f","go_favorites","KEY_F","no",
"h","go_home","KEY_H","no",
"J","go_home_or_now_playing",,"no",
"n","go_home_or_now_playing","KEY_N","yes",
,,"go_music_library","KEY_SEMICOLON","no"
"[","go_now_playing","KEY_LEFTBRACE","no",
"]","go_playlist","KEY_RIGHTBRACE","no",
"`","go_playlists","KEY_GRAVE","no",
"/","go_search","KEY_SLASH","no",
"v","go_twiddle_visualiser","KEY_V","vis",
"l","go/right","KEY_L","no",
"?","help",,"no",
"b","jump_fwd","KEY_B","no",
">","jump_fwd",,"no",
"z","jump_rew","KEY_Z","no",
"<","jump_rew",,"no",
"LEFT","left","KEY_LEFT","no",
"M","mute",,"no",
"u","mute","KEY_U","yes",
"SPACE","pause","KEY_SPACE","no",
"c","pause","KEY_C","no",
"x","play","KEY_X","no",
"p","play","KEY_P","no",
"W","play_next",,"no",
"y","play_next","KEY_Y","yes",
0,"play_preset_0","KEY_0","no",
1,"play_preset_1","KEY_1","no",
2,"play_preset_2","KEY_2","no",
3,"play_preset_3","KEY_3","no",
4,"play_preset_4","KEY_4","no",
5,"play_preset_5","KEY_5","no",
6,"play_preset_6","KEY_6","no",
7,"play_preset_7","KEY_7","no",
8,"play_preset_8","KEY_8","no",
9,"play_preset_9","KEY_9","no",
"Q","power","KEY_POWER","no",
"q","power","KEY_Q","no",
"i","power_off","KEY_I","yes",
"k","power_on","KEY_K","yes",
"o","quit","KEY_O","yes",
"R","reload_skin",,"no",
".","repeat_toggle","KEY_DOT","no",
"RIGHT","right","KEY_RIGHT","no",
"B","scanner_fwd",,"no",
"r","scanner_fwd","KEY_R","yes",
"Z","scanner_rew",,"no",
"e","scanner_rew","KEY_E","yes",
")","set_preset_0",,"yes",
"!","set_preset_1",,"no",
"@","set_preset_2",,"yes",
"#","set_preset_3",,"yes",
"$","set_preset_4",,"yes",
"%","set_preset_5",,"yes",
"^","set_preset_6",,"yes",
"&","set_preset_7",,"yes",
"*","set_preset_8",,"yes",
"(","set_preset_9",,"yes",
",","shuffle_toggle","KEY_COMMA","no",
"|","sleep",,"no",
"s","sleep","KEY_S","no",
"D","soft_reset",,"no",
"C","stop",,"no",
"g","stop","KEY_G","yes",
"S","take_screenshot",,"no",
"UP","up","KEY_UP","no",
"-","volume_down","KEY_MINUS","no",
"+","volume_up",,"no",
"=","volume_up","KEY_EQUAL","no",
